MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2021,Honda,Amaze 1.2 VXMT I VTEC,Manual,"13,191 km",PetrolTN-07,2nd Owner,"₹8,29,299"
2019,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"43,862 km",PetrolTN-07,1st Owner,"₹5,99,599"
2019,Honda,Amaze 1.2 VXMT I VTEC,Manual,"24,072 km",PetrolTN-11,1st Owner,"₹7,63,399"
2015,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Automatic,"61,755 km",PetrolTN-06,3rd Owner,"₹5,80,099"
2017,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"80,654 km",PetrolTN-20,1st Owner,"₹7,61,999"
2019,Maruti,Dzire ZXI Plus,Manual,"31,946 km",PetrolTN-18,1st Owner,"₹7,15,999"
2017,Honda,City V MT PETROL,Manual,"78,939 km",PetrolTN-07,1st Owner,"₹7,62,099"
2017,Honda,City V MT PETROL,Manual,"47,527 km",PetrolTN-74,2nd Owner,"₹7,95,599"
2016,Skoda,Rapid 1.6 MPI MT STYLE PLUS,Manual,"58,224 km",PetrolTN-10,1st Owner,"₹6,49,999"
2018,Hyundai,Verna 1.6 SX VTVT,Manual,"77,777 km",PetrolTN-12,1st Owner,"₹8,76,699"
2015,Skoda,Rapid 1.5 TDI MT Ambition Plus,Manual,"60,556 km",DieselTN-01,2nd Owner,"₹4,40,899"
2017,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"80,654 km",PetrolTN-20,1st Owner,"₹7,61,999"
2019,Maruti,Dzire ZXI Plus,Manual,"31,946 km",PetrolTN-18,1st Owner,"₹7,15,999"
2017,Honda,City V MT PETROL,Manual,"78,939 km",PetrolTN-07,1st Owner,"₹7,62,099"
2017,Honda,City V MT PETROL,Manual,"47,527 km",PetrolTN-74,2nd Owner,"₹7,95,599"
2021,Toyota,YARIS J CVT,Automatic,"16,583 km",PetrolTN-14,1st Owner,"₹11,01,999"
2021,Honda,Amaze 1.2 VXMT I VTEC,Manual,"13,191 km",PetrolTN-07,2nd Owner,"₹8,29,299"
2019,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"43,862 km",PetrolTN-07,1st Owner,"₹5,99,599"
2016,Skoda,Rapid 1.6 MPI MT STYLE PLUS,Manual,"58,224 km",PetrolTN-10,1st Owner,"₹6,49,999"
2019,Honda,Amaze 1.2 VX CVT I VTEC,Automatic,"39,609 km",PetrolTN-06,1st Owner,"₹7,48,299"
2018,Hyundai,Verna 1.6 SX VTVT,Manual,"77,777 km",PetrolTN-12,1st Owner,"₹8,76,699"
2019,Volkswagen,Vento 1.2 TSI HIGHLINE PLUS AT,Automatic,"84,092 km",PetrolTN-22,1st Owner,"₹9,18,349"
2020,Hyundai,AURA S 1.2 Kappa MT,Manual,"22,557 km",PetrolTN-91,1st Owner,"₹6,90,199"
2019,Honda,Amaze 1.2 VXMT I VTEC,Manual,"24,072 km",PetrolTN-11,1st Owner,"₹7,63,399"
2020,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"40,410 km",PetrolTN-20,1st Owner,"₹8,67,199"
2019,Honda,City ZX CVT,Automatic,"31,688 km",PetrolTN-02,1st Owner,"₹11,99,999"
2021,Maruti,Dzire VXI,Manual,"5,385 km",PetrolTN-09,2nd Owner,"₹7,31,699"
2017,Hyundai,Verna 1.6 SX VTVT (O),Manual,"4,832 km",PetrolTN-19,1st Owner,"₹8,67,699"
2017,Maruti,Dzire VDI,Manual,"48,905 km",DieselTN-09,2nd Owner,"₹6,66,299"
2013,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"43,531 km",PetrolTN-01,2nd Owner,"₹5,60,899"
2022,Mahindra,XUV 3OO W8 (O) AT,,"20,094 km",PetrolTN-14,1st Owner,"₹12,67,299"
2018,Jeep,Compass LIMITED O 1.4 AT,Automatic,"36,891 km",PetrolTN-04,1st Owner,"₹13,26,099"
2017,Jeep,Compass 2.0 LIMITED,Manual,"25,288 km",DieselTN-12,1st Owner,"₹12,98,099"
2019,Mahindra,KUV 100 NXT K2+6 STR,Manual,"14,885 km",PetrolTN-50,1st Owner,"₹5,87,299"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"18,626 km",PetrolTN-22,1st Owner,"₹7,25,799"
2017,Jeep,Compass LIMITED 2.0 4*4,Manual,"47,324 km",DieselTN-14,1st Owner,"₹15,18,949"
2019,Hyundai,Tucson New 2WD AT GLS PETROL,Automatic,"80,392 km",PetrolTN-14,1st Owner,"₹17,24,999"
2019,Jeep,Compass LIMITED PLUS 2.0 4*4,Manual,"34,532 km",DieselTN-07,1st Owner,"₹20,06,399"
2017,Jeep,Compass 2.0 LONGITUDE,Manual,"68,571 km",DieselTN-02,1st Owner,"₹11,51,299"
2017,Jeep,Compass 2.0 LIMITED,Manual,"95,031 km",DieselTN-05,1st Owner,"₹12,75,699"
2018,Jeep,Compass LIMITED O 1.4 AT,Automatic,"48,076 km",PetrolTN-19,1st Owner,"₹13,80,599"
2017,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"32,562 km",PetrolTN-95,1st Owner,"₹4,19,399"
2019,Renault,TRIBER 1.0 RXZ,Manual,"30,358 km",PetrolTN-85,1st Owner,"₹6,69,199"
2020,KIA,SELTOS GTX+ 1.4 MT,Manual,"91,521 km",PetrolTN-19,1st Owner,"₹15,30,399"
2018,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"59,041 km",DieselTN-09,1st Owner,"₹11,83,999"
2015,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"25,213 km",PetrolTN-02,1st Owner,"₹5,51,899"
2017,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"55,275 km",PetrolTN-04,2nd Owner,"₹10,86,099"
2017,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"42,866 km",PetrolTN-22,2nd Owner,"₹4,19,099"
2017,Mahindra,Kuv100 K8 6 STR,Manual,"16,095 km",PetrolTN-06,2nd Owner,"₹4,96,799"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"66,226 km",PetrolTN-10,1st Owner,"₹7,09,499"
2020,Renault,TRIBER 1.0 RXT,Manual,"21,750 km",PetrolTN-13,1st Owner,"₹6,12,999"
2019,Tata,Hexa Varicor 400 XT,Manual,"34,664 km",DieselTN-02,1st Owner,"₹16,06,599"
2020,Renault,TRIBER 1.0 RXZ,Manual,"59,044 km",PetrolTN-14,1st Owner,"₹6,75,999"
2019,Hyundai,Creta 1.6 SX CRDI,Manual,"45,234 km",DieselTN-31,1st Owner,"₹12,37,249"
2018,Maruti,S Cross SIGMA SHVS,Manual,"39,649 km",DieselTN-02,1st Owner,"₹7,84,399"
2017,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"52,478 km",DieselTN-14,2nd Owner,"₹7,41,099"
2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"38,513 km",PetrolTN-13,1st Owner,"₹4,33,699"
2019,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"36,728 km",DieselTN-18,2nd Owner,"₹8,62,399"
2020,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"72,822 km",PetrolTN-12,1st Owner,"₹7,92,999"
2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"69,880 km",DieselTN-18,1st Owner,"₹9,33,299"
2016,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"22,119 km",PetrolTN-01,1st Owner,"₹3,78,199"
2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"84,388 km",DieselTN-85,1st Owner,"₹8,22,799"
2020,KIA,SELTOS 1.5 GTX+ AT,Automatic,"58,241 km",DieselTN-09,1st Owner,"₹15,75,799"
2017,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"85,007 km",DieselTN-85,1st Owner,"₹7,23,399"
2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"29,400 km",PetrolTN-02,1st Owner,"₹8,30,399"
2017,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"96,631 km",DieselTN-11,1st Owner,"₹7,83,099"
2014,Ford,Ecosport 1.5 TITANIUMTDCI OPT,Manual,"69,381 km",DieselTN-14,2nd Owner,"₹5,47,899"
2020,KIA,SELTOS GTX+ 1.4 MT,Manual,"91,521 km",PetrolTN-19,1st Owner,"₹15,30,399"
2017,Honda,BR-V 1.5 i-VTEC V CVT,Automatic,"92,029 km",PetrolTN-70,2nd Owner,"₹7,21,099"
2016,Maruti,S Cross SIGMA 1.3,Manual,"82,344 km",DieselTN-10,2nd Owner,"₹6,28,399"
2017,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"32,562 km",PetrolTN-95,1st Owner,"₹4,19,399"
2016,Maruti,Celerio ZXI AMT,Automatic,"36,894 km",PetrolTN-12,1st Owner,"₹4,55,399"
2019,Maruti,Baleno DELTA CVT PETROL 1.2,,"11,262 km",PetrolTN-22,2nd Owner,"₹7,20,799"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"24,830 km",PetrolTN-09,2nd Owner,"₹5,87,599"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"21,539 km",PetrolTN-13,2nd Owner,"₹6,71,049"
2017,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"42,866 km",PetrolTN-22,2nd Owner,"₹4,19,099"
2014,Maruti,Celerio VXI,Manual,"62,854 km",PetrolTN-14,3rd Owner,"₹3,40,799"
2017,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"80,654 km",PetrolTN-20,1st Owner,"₹7,61,999"
2018,Maruti,Baleno ZETA PETROL 1.2,,"41,864 km",PetrolTN-02,1st Owner,"₹6,36,199"
2019,Maruti,Dzire ZXI Plus,Manual,"31,946 km",PetrolTN-18,1st Owner,"₹7,15,999"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"43,970 km",PetrolTN-03,1st Owner,"₹6,44,499"
2014,Maruti,Swift ZXI,Manual,"12,277 km",PetrolTN-09,1st Owner,"₹5,18,499"
2017,Maruti,Celerio VXI (O) AMT,Automatic,"28,198 km",PetrolTN-22,1st Owner,"₹4,68,799"
2019,Maruti,Baleno ZETA 1.2 K12,Manual,"97,738 km",PetrolTN-10,1st Owner,"₹6,62,299"
2019,Maruti,Swift VXI,Manual,"33,032 km",PetrolTN-87,2nd Owner,"₹6,43,599"
2018,Maruti,Swift VXI,Manual,"27,834 km",PetrolTN-19,1st Owner,"₹6,31,299"
2021,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"7,973 km",PetrolTN-18,1st Owner,"₹5,08,899"
2020,Maruti,Baleno ALPHA 1.2 K12,Manual,"42,840 km",PetrolTN-31,1st Owner,"₹8,26,699"
2017,Maruti,IGNIS DELTA 1.2 K12 AMT,Automatic,"43,319 km",PetrolTN-14,1st Owner,"₹4,83,999"
2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"21,836 km",PetrolTN-25,1st Owner,"₹4,11,099"
2017,Maruti,Swift VXI OPT,Manual,"81,845 km",PetrolTN-19,1st Owner,"₹5,24,599"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"79,902 km",PetrolTN-14,2nd Owner,"₹5,68,699"
2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"33,657 km",PetrolTN-20,1st Owner,"₹4,29,899"
2018,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"43,617 km",PetrolTN-01,1st Owner,"₹4,16,699"
2011,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"62,415 km",PetrolTN-22,1st Owner,"₹3,06,999"
2017,Maruti,Swift VXI,Manual,"57,997 km",PetrolTN-09,1st Owner,"₹5,70,199"
2018,Maruti,Baleno DELTA 1.2 K12,Manual,"52,120 km",PetrolTN-04,3rd Owner,"₹5,88,299"
2015,Maruti,Celerio VXI AMT,Automatic,"46,893 km",PetrolTN-45,1st Owner,"₹4,18,899"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"24,830 km",PetrolTN-09,2nd Owner,"₹5,87,599"
2017,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"80,654 km",PetrolTN-20,1st Owner,"₹7,61,999"
2018,Maruti,Baleno ZETA PETROL 1.2,,"41,864 km",PetrolTN-02,1st Owner,"₹6,36,199"
2019,Maruti,Dzire ZXI Plus,Manual,"31,946 km",PetrolTN-18,1st Owner,"₹7,15,999"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"21,539 km",PetrolTN-13,2nd Owner,"₹6,71,049"
2016,Maruti,Celerio ZXI AMT,Automatic,"36,894 km",PetrolTN-12,1st Owner,"₹4,55,399"
2019,Maruti,Baleno DELTA CVT PETROL 1.2,,"11,262 km",PetrolTN-22,2nd Owner,"₹7,20,799"
2014,Maruti,Swift ZXI,Manual,"12,277 km",PetrolTN-09,1st Owner,"₹5,18,499"
2019,Maruti,Swift VXI,Manual,"33,032 km",PetrolTN-87,2nd Owner,"₹6,43,599"
2017,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"42,866 km",PetrolTN-22,2nd Owner,"₹4,19,099"
2014,Maruti,Celerio VXI,Manual,"62,854 km",PetrolTN-14,3rd Owner,"₹3,40,799"
2015,Maruti,Swift VDI ABS,Manual,"75,451 km",DieselTN-02,1st Owner,"₹5,13,799"
2020,Toyota,YARIS V MT,Manual,"23,415 km",PetrolTN-19,1st Owner,"₹9,98,299"
2021,Toyota,YARIS J CVT,Automatic,"16,583 km",PetrolTN-14,1st Owner,"₹11,01,999"
2018,Toyota,YARIS G MT,Manual,"50,678 km",PetrolTN-01,2nd Owner,"₹7,98,299"
2018,Toyota,YARIS G MT,Manual,"19,860 km",PetrolTN-09,1st Owner,"₹8,32,799"
2013,Toyota,Etios G,Manual,"43,677 km",PetrolTN-09,1st Owner,"₹4,50,599"
2021,Toyota,Glanza V MT PETROL,,"85,945 km",PetrolTN-04,1st Owner,"₹9,52,899"
2021,Toyota,URBAN CRUISER Premium AT,,"7,052 km",PetrolTN-09,1st Owner,"₹12,54,699"
2021,Toyota,URBAN CRUISER PREMIUM MT,,"22,776 km",PetrolTN-23,1st Owner,"₹10,70,599"
2020,KIA,SONET GTX PLUS 1.5D  AT,,"56,129 km",DieselTN-01,1st Owner,"₹14,13,699"
2021,Volkswagen,Polo HIGH LINE PLUS 1.0,Manual,"22,473 km",PetrolTN-01,1st Owner,"₹8,68,399"
2021,Maruti,Ciaz ALPHA 1.5 AT SHVS,Automatic,"80,142 km",PetrolTN-07,1st Owner,"₹9,98,899"
2020,Maruti,Dzire ZXI Plus,Manual,"24,920 km",PetrolTN-79,1st Owner,"₹8,32,799"
2010,Honda,City V MT PETROL,Manual,"91,705 km",PetrolTN-02,1st Owner,"₹4,60,899"
2021,Renault,Kiger RXZ 1.0 MT,,"11,118 km",PetrolTN-12,1st Owner,"₹8,74,299"
2017,Mahindra,Kuv100 K8 6 STR,Manual,"16,095 km",PetrolTN-06,2nd Owner,"₹4,96,799"
2018,Mahindra,Bolero Power+ ZLX,Manual,"62,611 km",DieselTN-09,2nd Owner,"₹8,05,099"
2018,Mahindra,Scorpio S11,Manual,"84,562 km",DieselTN-06,1st Owner,"₹12,44,699"
2017,Mahindra,XUV500 W10 FWD,Manual,"55,145 km",DieselTN-07,1st Owner,"₹12,82,799"
2021,Mahindra,Thar LX PETROL HT 4WD AT,,"5,948 km",PetrolTN-09,1st Owner,"₹16,94,099"
2022,Mahindra,XUV 3OO W8 (O) AT,,"20,094 km",PetrolTN-14,1st Owner,"₹12,67,299"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"18,626 km",PetrolTN-22,1st Owner,"₹7,25,799"
2019,Mahindra,KUV 100 NXT K2+6 STR,Manual,"14,885 km",PetrolTN-50,1st Owner,"₹5,87,299"
2018,Maruti,Vitara Brezza VDI,Manual,"35,250 km",DieselTN-10,1st Owner,"₹7,95,499"
2013,Maruti,Ertiga VXI,Manual,"93,544 km",PetrolTN-10,2nd Owner,"₹5,61,499"
2020,KIA,SELTOS GTX+ 1.4 MT,Manual,"91,312 km",PetrolTN-19,1st Owner,"₹15,30,399"
2017,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"75,705 km",DieselTN-10,1st Owner,"₹11,29,199"
2018,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"58,973 km",DieselTN-09,1st Owner,"₹11,83,999"
2015,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"25,165 km",PetrolTN-02,1st Owner,"₹5,51,899"
2020,Tata,ALTROZ XT 1.2,,"33,530 km",PetrolTN-22,1st Owner,"₹7,46,699"
2022,Tata,ALTROZ XZ + 1.2 RTN,,"2,853 km",PetrolTN-85,1st Owner,"₹9,51,999"
2021,Tata,ALTROZ XT 1.2,,"5,880 km",PetrolTN-12,1st Owner,"₹7,91,499"
2019,Tata,Hexa Varicor 400 XT,Manual,"7,944 km",DieselTN-23,1st Owner,"₹15,86,899"
2021,Tata,ALTROZ XM+ 1.2 RTN,,"12,864 km",PetrolTN-19,1st Owner,"₹7,10,099"
2019,Tata,Hexa Varicor 400 XT,Manual,"34,664 km",DieselTN-02,1st Owner,"₹16,06,599"
2022,Tata,Tiago XZ+ 1.2 Revotron,Manual,"2,707 km",PetrolTN-09,1st Owner,"₹7,65,699"
2021,Tata,NEXON XMA SUNROOF 1.2 RTN,Automatic,"8,737 km",PetrolTN-10,1st Owner,"₹10,67,199"
2022,Tata,ALTROZ XE 1.2,Manual,269 km,PetrolTN-10,1st Owner,"₹6,76,999"
2018,Tata,Tiago XZ 1.2 REVOTRON,Manual,"48,036 km",PetrolTN-10,2nd Owner,"₹5,12,199"
2017,Tata,TIGOR XZ 1.2 REVOTRON OPT,Manual,"60,361 km",PetrolTN-87,1st Owner,"₹4,99,699"
